scene_id,datetime,cloud_cover_pct,platform,thumbnail_url,collection
S2C_MSIL2A_20260411T044701_N0512_R076_T45RWM_20260411T093709,2026-04-11T04:47:01.025000Z,0.35,sentinel-2c,https://datahub.creodias.eu/odata/v1/Assets(372dedb3-23f4-4669-98ef-8421d704170a)/$value,sentinel-2-l2a
S2A_MSIL2A_20260413T045241_N0512_R076_T45RVM_20260413T100009,2026-04-13T04:52:41.024000Z,0.36,sentinel-2a,,sentinel-2-l2a
S2A_MSIL2A_20260215T045901_N0512_R076_T45RVM_20260215T073610,2026-02-15T04:59:01.024000Z,1.76,sentinel-2a,,sentinel-2-l2a

